Facility Name,Facility Type,Thermal capacity (MWth),Reference Unit Power (MWe),Thermal efficiency % ,T Gaseous Release in 2021 (Ci),T Liquid Release in 2021 (Ci),T Gaseous Release in 2020 (Ci),T Liquid Release in 2020 (Ci),T Gaseous Release in 2019 (Ci),T Liquid Release in 2019 (Ci),T Gaseous Release in 2018 (Ci),T Liquid Release in 2018 (Ci),T Gaseous Release in 2017 (Ci),T Liquid Release in 2017 (Ci),T Gaseous Release in 2016 (Ci),T Liquid Release in 2016 (Ci),2021 Generation (MWh),2020 Generation (MWh),2019 Generation (MWh),2018 Generation (MWh),2017 Generation (MWh),2016 Generation (MWh),First Grid Connection,State,Model,Containment Types,Reactor Type,BWR Type,Number of Loops,Mark,Freshwater (F) or saltwater (S)? ,nickname,Plant ID,Cooling Type,Add in flow basis stuff
Arkansas 1,PWR,2568,836,32.55451713,15.5,371,16.9,436,21,570,19.7,352,15.4,558,15,554,6570588,7436378,6440098,5622437,6874688,5668731,1974,AR,B&W; (L-loop) DRYAMB,DRYAMB,B&W,N/A,2,N/A,F,AR1,1,ON,https://www3.epa.gov/region1/npdes/merrimackstation/pdfs/ar/AR-1740.pdf
Arkansas 2,PWR,3026,988,32.65036352,30.6,666,32.7,431,24.7,510,35.4,632,26,247,17.3,529,6985096,7626671,7134849,7098381,5816391,7752291,1978,AR,CE (2-loop) DRYAMB,DRYAMB,CE,N/A,2,N/A,F,AR2,2,RN,
Beaver Valley 1,PWR,2900,908,31.31034483,15.6,791,7.7,249,66.6,471,1.93,689,3.47,609,3.61,637,7356891,8047731,7416901,7438148,7999181,7351137,1976,PA,W (3-loop),DRYSUB,W,N/A,3,N/A,F,BV1,3,RN,
Beaver Valley 2,PWR,2900,905,31.20689655,56.6,791,83.5,249,66.6,471,1.52,689,1.11,609,1.39,637,7024505,7345662,8039569,7215308,7312326,7868437,1987,PA,W (3-loop),DRYSUB,W,N/A,3,N/A,F,BV2,4,RN,
Braidwood 1,PWR,3645,1194,32.75720165,38.8,1590,41.4,955,36.6,1680,215,1220,141,1210,112,1700,9887584,10604454,9986322,9834457,10537328,9622742,1987,IL,W (4-loop),DRYAMB,W,N/A,4,N/A,F,BW1,5,RC,
Braidwood 2,PWR,3645,1160,31.82441701,38.8,1590,41.4,955,36.6,1680,215,1220,141,1210,101,1700,9586763,9767222,10264818,9509002,9406226,10226527,1988,IL,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,F,BW2,6,RC,
Byron 1,PWR,3645,1164,31.93415638,16.8,1260,9.91,1410,14.1,1060,13.2,1410,9.38,675,12.3,1070,9776596,9853735,10459123,9868770,9584031,10356724,1985,IL,W (4-loop) (DRYAMB),DRYAMB,W,N/A,4,N/A,F,BY1,7,RN,
Byron 2,PWR,3645,1136,31.1659808,80.4,1260,38.2,1410,37,1060,45.6,1410,30.2,988,34.6,1070,10193056,9671159,9658858,10182253,9560013,9243524,1987,IL,W (4-Loop) (DRYAMB),DRYAMB,W,N/A,4,N/A,F,BY2,8,RN,
Callaway,PWR,3565,1300,36.46563815,25.5,77.4,36.9,1460,36.5,915,30,514,43.1,1420,38.7,565,4292433,7742120,9189863,10655279,8304127,9430179,1984,MO,W (4-loop) DRYAMB,DRYAMB,W,N/A,4,N/A,F,CA1,9,RN,
Calvert Cliffs 1,PWR,2737,877,32.04238217,3.26,684,4.34,621,3.95,617,3.57,617,5.98,640,4.2,542,7895813,7371348,7913339,7289367,7832605,7186439,1975,MD,CE (2-loop) DRYAMB,DRYAMB,CE,N/A,2,N/A,S,CC1,10,ON,
Calvert Cliffs 2,PWR,2737,855,31.23858239,3.26,684,4.34,621,3.95,617,3.57,617,5.98,640,4.2,542,7097820,7709209,7099583,7698564,7274383,7573738,1976,MD,CE (2-loop) DRYAMB,DRYAMB,CE,N/A,2,N/A,S,CC2,11,ON,
Catawba 1,PWR,3411,1160,34.0076224,127,578,94.9,0,94.8,362,97.9,449,94.8,423,95.5,427,9571297,9235519,10249745,9510487,9529305,10242365,1985,SC,W (4-loop) (ICECND),ICECND,W,N/A,4,N/A,F,CT1,12,RI,
